0	80	26.66666667	#DIV/0!	#DIV/0!
12.5	40	20	80	26.66666667
25	26.66666667	16	40	20
37.5	20	13.33333333	26.66666667	16
50	16	11.42857143	20	13.33333333
62.5	13.33333333	10	16	11.42857143
75	11.42857143	8.888888889	13.33333333	10
87.5	10	8	11.42857143	8.888888889
100	8.888888889	7.272727273	10	8
112.5	8	6.666666667	8.888888889	7.272727273
125	7.272727273	6.153846154	8	6.666666667
137.5	6.666666667	5.714285714	7.272727273	6.153846154
150	6.153846154	5.333333333	6.666666667	5.714285714
162.5	5.714285714	5	6.153846154	5.333333333
175	5.333333333	4.705882353	5.714285714	5
187.5	5	4.444444444	5.333333333	4.705882353
200	4.705882353	4.210526316	5	4.444444444
212.5	4.444444444	4	4.705882353	4.210526316
225	4.210526316	3.80952381	4.444444444	4
237.5	4	3.636363636	4.210526316	3.80952381
250	3.80952381	3.47826087	4	3.636363636
262.5	3.636363636	3.333333333	3.80952381	3.47826087
275	3.47826087	3.2	3.636363636	3.333333333
287.5	3.333333333	3.076923077	3.47826087	3.2
300	3.2	2.962962963	3.333333333	3.076923077
312.5	3.076923077	2.857142857	3.2	2.962962963
325	2.962962963	2.75862069	3.076923077	2.857142857
337.5	2.857142857	2.666666667	2.962962963	2.75862069
350	2.75862069	2.580645161	2.857142857	2.666666667
